dataset,m,method,trial,cm,igd
dtlz1,m=5,lex,0,0.598655940439,0.720415280006
dtlz1,m=5,lex,1,0.0269143,0.198275032704
dtlz1,m=5,lex,2,12.5014933085,12.1822682798
dtlz1,m=5,lex,3,16.7661541854,16.719604591
dtlz1,m=5,lex,4,12.5415977702,12.4205057241
dtlz1,m=5,lex,5,13.1654100315,12.7983512832
dtlz1,m=5,lex,6,0.0105961,0.183819938484
dtlz1,m=5,lex,7,0.0146004,0.187338720184
dtlz1,m=5,lex,8,3.52035980238,3.35358804824
dtlz1,m=5,lex,9,0.0048485,0.178804937936
dtlz1,m=5,lex,10,0.518971880017,0.599944780154
dtlz1,m=5,lex,11,12.5081946146,12.2175215795
dtlz1,m=5,lex,12,13.1473227361,13.1584442812
dtlz1,m=5,lex,13,0.0261017,0.197548343799
dtlz1,m=5,lex,14,0.963382,1.11737741915
dtlz1,m=5,lex,15,0.0956492,0.261579427026
dtlz1,m=5,lex,16,0.1837488,0.345764452195
dtlz1,m=5,lex,17,1.62078474866,1.71043921203
dtlz1,m=5,lex,18,2.56852169217,2.35091006965
dtlz1,m=5,lex,19,3.00254512722,2.97873063708
dtlz1,m=5,lex,20,14.1851564664,13.0209366514
dtlz1,m=5,lex,21,12.4982,12.64898981
dtlz1,m=5,lex,22,0.503984,0.660429495737
dtlz1,m=5,lex,23,0.803943,0.958523391154
dtlz1,m=5,lex,24,20.49553,20.6461996998
dtlz1,m=5,lex,25,19.4668255911,18.9637477416
dtlz1,m=5,lex,26,13.4703527663,13.1829847895
dtlz1,m=5,lex,27,0.0177367,0.190108164132
dtlz1,m=5,lex,28,0.50306,0.659513854022
dtlz1,m=5,lex,29,0.0257391671429,0.154128478471
dtlz1,m=5,nsga2,0,413.577072531,336.015620639
dtlz1,m=5,nsga2,1,426.754689323,339.030126769
dtlz1,m=5,nsga2,2,361.533698913,299.375678647
dtlz1,m=5,nsga2,3,400.339676948,317.592503548
dtlz1,m=5,nsga2,4,405.982923061,320.137384696
dtlz1,m=5,nsga2,5,438.016909554,360.971602009
dtlz1,m=5,nsga2,6,406.175206892,328.99413266
dtlz1,m=5,nsga2,7,449.277234804,344.657029756
dtlz1,m=5,nsga2,8,450.865070175,345.402861074
dtlz1,m=5,nsga2,9,415.445615743,330.99003093
dtlz1,m=5,nsga2,10,420.993392522,337.799025104
dtlz1,m=5,nsga2,11,429.343772282,337.06011883
dtlz1,m=5,nsga2,12,427.188601996,340.422929971
dtlz1,m=5,nsga2,13,430.05912605,338.20497092
dtlz1,m=5,nsga2,14,427.997170783,335.627470122
dtlz1,m=5,nsga2,15,410.05547255,332.630821943
dtlz1,m=5,nsga2,16,373.339927858,314.013505726
dtlz1,m=5,nsga2,17,436.81630392,345.025522059
dtlz1,m=5,nsga2,18,448.438398112,359.008654126
dtlz1,m=5,nsga2,19,407.925371178,329.429391246
dtlz1,m=5,nsga2,20,394.464673601,322.419951527
dtlz1,m=5,nsga2,21,421.541719209,341.663935866
dtlz1,m=5,nsga2,22,390.964954738,320.094546148
dtlz1,m=5,nsga2,23,381.078691327,308.188477274
dtlz1,m=5,nsga2,24,417.863152728,331.135028075
dtlz1,m=5,nsga2,25,378.69539548,300.963616934
dtlz1,m=5,nsga2,26,350.76702873,282.898495417
dtlz1,m=5,nsga2,27,389.057684468,302.888790861
dtlz1,m=5,nsga2,28,422.273268875,331.995159243
dtlz1,m=5,nsga2,29,349.128861458,287.172874244
dtlz1,m=5,hype,0,3.70593030875,3.34833699447
dtlz1,m=5,hype,1,4.03768137909,3.5488949964
dtlz1,m=5,hype,2,3.25305709299,2.93875252018
dtlz1,m=5,hype,3,2.18088425153,2.10908908345
dtlz1,m=5,hype,4,4.62297358875,4.40430648264
dtlz1,m=5,hype,5,3.71483815602,3.45430841054
dtlz1,m=5,hype,6,4.79697672201,4.55833222309
dtlz1,m=5,hype,7,7.10343105323,6.24151705815
dtlz1,m=5,hype,8,8.7942026309,8.70378038217
dtlz1,m=5,hype,9,9.15803536646,8.45352920662
dtlz1,m=5,hype,10,2.08087592395,1.77928111782
dtlz1,m=5,hype,11,10.6602735675,9.52634078669
dtlz1,m=5,hype,12,5.23989321316,4.60206835609
dtlz1,m=5,hype,13,2.8114937446,2.66663476098
dtlz1,m=5,hype,14,12.2379865047,11.2293940154
dtlz1,m=5,hype,15,2.62021230456,2.56236770219
dtlz1,m=5,hype,16,7.02374155588,6.61740322878
dtlz1,m=5,hype,17,7.9164152156,6.90397969697
dtlz1,m=5,hype,18,10.0448344733,9.06812811679
dtlz1,m=5,hype,19,8.28262990938,7.45029354822
dtlz1,m=5,hype,20,13.5535885516,12.3285273188
dtlz1,m=5,hype,21,31.124265052,26.9519486479
dtlz1,m=5,hype,22,3.84719236526,3.36481583494
dtlz1,m=5,hype,23,1.75539102102,1.6082879583
dtlz1,m=5,hype,24,13.6057614789,13.591269215
dtlz1,m=5,hype,25,4.14691380218,3.5515593508
dtlz1,m=5,hype,26,3.5990097253,3.3924315195
dtlz1,m=5,hype,27,1.85522821566,1.77706526993
dtlz1,m=5,hype,28,4.64679906208,4.01462977132
dtlz1,m=5,hype,29,3.41834313921,3.04016097315
dtlz1,m=25,lex,0,0.568286,1.0185955402
dtlz1,m=25,lex,1,2.520848,2.96674054476
dtlz1,m=25,lex,2,0.01821,0.476339607331
dtlz1,m=25,lex,3,1.165047,1.61287345957
dtlz1,m=25,lex,4,0.699559,1.1491015374
dtlz1,m=25,lex,5,24.99212,25.4359813898
dtlz1,m=25,lex,6,1.073203,1.52128504681
dtlz1,m=25,lex,7,0.534336,0.984877084265
dtlz1,m=25,lex,8,13.18911,13.6332034736
dtlz1,m=25,lex,9,13.07989,13.5239875129
dtlz1,m=25,lex,10,0.667969,1.11767969817
dtlz1,m=25,lex,11,0.0869786,0.543271274394
